net,length_um
_3491_,55.88
_3108_,55.86
_0862_,55.79
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.psum_out\[7\],55.715
_2151_,55.6
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[9\],55.6
net526,55.24
net154,55.22
clknet_leaf_80_clk,55.12
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[3\],54.76
net68,54.735
_1461_,54.72
clknet_leaf_49_clk,54.7
net206,54.6
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[6\],54.08
_3349_,54
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[8\],54
_0865_,53.94
_2134_,53.9
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[2\],53.875
clknet_leaf_27_clk,53.48
clknet_leaf_37_clk,53.3
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.move_reg\[11\],53
clknet_leaf_71_clk,52.98
clknet_leaf_48_clk,52.96
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[5\],52.86
u_pe_array.act_from_up\[14\]\[3\],52.84
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[9\],52.74
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.act_val\[1\],52.74
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[1\],52.74
u_pe_array.act_from_up\[14\]\[4\],52.68
clknet_leaf_84_clk,52.68
_2329_,52.64
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[9\],52.635
_2688_,52.525
_3371_,52.48
clknet_leaf_30_clk,52.44
_0967_,52.36
_0871_,52.1
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.move_reg\[9\],52.08
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[12\],52.05
_0864_,51.98
_0966_,51.98
_3408_,51.88
net108,51.82
u_pe_array.u_fifo1.rd_ptr\[0\],51.735
u_pe_array.act_from_down\[1\]\[0\],51.68
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[3\],51.675
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[3\],51.625
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[7\],51.57
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[4\],51.52
u_pe_array.act_from_down\[3\]\[3\],51.02
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.psum_out\[6\],50.99
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[5\],50.92
_0952_,50.76
_0914_,50.52
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[3\],50.285
_3242_,50.18
_0912_,50.16
_3351_,50.1
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[6\],50.06
clknet_leaf_31_clk,50
_3241_,49.96
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[8\],49.68
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.psum_out\[8\],49.395
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.psum_out\[5\],49.32
net193,49.23
clknet_leaf_90_clk,49.22
_3423_,49.04
_1478_,48.96
u_pe_array.act_from_up\[6\]\[8\],48.94
net57,48.78
_2696_,48.2
net104,48.1
_3446_,48.06
clknet_leaf_93_clk,48.06
u_pe_array.u_fifo1.rd_ptr\[3\],47.855
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[5\],47.85
